# code	word	layer	freq_score
# generated by wubi-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin wubi-build-weights
adpy	惹祸	1	17873
adqc	基色	1	13868
adqd	𠥟	0	0
adqe	其解	1	18350
adqh	其外	1	21391
adqi	苦乐	1	10176
adqk	其名	1	24442
adqk	茂名	1	17124
adql	项链	1	25935
adqm	欺负	1	27264
adqn	𦰮	0	0
adqo	𤎗	0	0
adqq	䔪	0	0
adqq	基金	1	32310
adqt	藏独	1	10129
adqu	功成名遂	1	0
adqu	𦬐	0	0
adqv	惹急	1	10359
adqy	功成名就	1	16583
adqy	𦰘	0	0
adr	𦫺	0	0
adrb	藏拙	1	9037
adrc	苦瓜	1	16798
adrf	基质	1	15958
adrg	其后	1	25935
adri	蒝	0	0
adrj	𦳵	0	0
adrl	若有所思	1	13674
adrm	英雄所见略同	1	12516
adrn	惹气	1	0
adrp	勘探	1	20326
adrr	若有所失	1	9162
adrt	英雄气短	1	9037
adru	莽撞	1	18966
adrw	若失	1	15414
adry	藏掖	1	0
adsc	期权	1	15264
adsf	东奔西走	1	13172
adsg	基本	1	36302
adsg	斟酌	1	18194
adsh	若想	1	21637
adsj	勘查	1	18910
adsk	䓫	0	0
adsk	东奔西跑	1	15109
adsm	戎机	1	0
adsr	基板	1	14829
adss	斯大林	1	26874
adss	苦楚	1	17725
adsu	勘校	1	0
adsv	若要	1	23590
adtc	藏私	1	8908
adtc	𣫧	0	0
adtd	苦短	1	17089
adtf	䓓	0	0
adtf	匪徒	1	23154
adtf	期待	1	31977
adtg	欺生	1	0
adth	苦处	1	10698
adth	藶	0	0
adtj	惹得	1	16166
adtm	藏身	1	24827
adtn	𦯮	0	0
adtn	𦱼	0	0
adtp	𦷩	0	0
adtr	𠀫	0	0
adtt	苦笑	1	15414
adtv	功成身退	1	15357
adtw	其奈我何	1	0
adu	芖	3	12959
adu	蕨	3	18264
adu	𦬫	0	0
adua	䕢	0	0
aduc	苦痛	1	18754
adud	苦头	1	21676
aduf	欺凌	1	22530
adug	苦辣	1	17731
aduh	基站	1	20417
adui	𦼔	0	0
aduj	期间	1	34114
aduk	基部	1	19327
adun	苦闷	1	18070
adun	𦲳	0	0
aduo	𩼥	0	0
adup	𧂏	0	0
aduq	其次	1	28577
adut	匪首	1	9400
adut	𦱏	0	0
aduw	基准	1	20885
aduw	蕨	0	18264
adux	项背	1	11119
aduy	𧃓	0	0
advb	甚好	1	15264
advc	惹怒	1	18893
advf	基建	1	23217
advh	蕼	0	0
advi	𧀳	0	0
advj	匪巢	1	11329
advt	藏娇	1	10403
advx	萨达姆	1	22354
adw	其	3	40017
adwa	戡	0	14702
adwb	其他	1	40914
adwb	𨛺	0	0
adwc	㪛	0	0
adwc	𤿺	0	0
adwc	𦫡	0	0
adwd	碁	0	15194
adwd	𠔴	0	0
adwe	朞	0	0
adwe	期	0	38404
adwe	𤯉	0	0
adwe	𦡾	0	0
adwf	㪸	0	0
adwf	卙	0	0
adwf	基	0	37502
adwf	斟	0	19294
adwf	𠔫	0	0
adwf	𦥄	0	0
adwg	苦命	1	16073
adwg	蒙大拿	1	20308
adwg	𤦢	0	0
adwh	菶	0	0
adwh	𢃛	0	0
adwi	綦	0	16180
adwi	苦大仇深	1	9100
adwj	㫷	0	0
adwj	剘	0	0
adwj	萶	0	0
adwj	蜝	0	0
adwj	蟴	0	0
adwj	𠝻	0	0
adwj	𠞦	0	0
adwj	𢧔	0	0
adwj	𧕷	0	0
adwj	𧕹	0	0
adwk	𠔵	0	0
adwl	勘	0	23451
adwm	䫏	0	0
adwm	䫖	0	0
adwn	㐞	0	0
adwn	㥦	0	0
adwn	㽄	0	0
adwn	惎	0	0
adwn	甚	0	33731
adwn	𢁂	0	0
adwn	𢝖	0	0
adwn	𢤵	0	0
adwn	𢦊	0	0
adwn	𤭣	0	0
adwn	𤭦	0	0
adwn	𤮓	0	0
adwn	𦒙	0	0
adwo	䳢	0	0
adwo	𪀵	0	0
adwo	𪅾	0	0
adwo	𪆁	0	0
adwo	𪆗	0	0
adwq	㽎	0	0
