loaded 1845 rows across 6 chars

=== verdict tally (1845 rows) ===
  UNCERTAIN         :  1579  ( 85.6%)
  LIKELY_SPURIOUS   :   133  (  7.2%)
  SPURIOUS          :   117  (  6.3%)
  LEGITIMATE        :    16  (  0.9%)

=== verdict by source char ===
  地: {'LEGITIMATE': 8, 'UNCERTAIN': 573, 'SPURIOUS': 37, 'LIKELY_SPURIOUS': 85}
  得: {'UNCERTAIN': 626, 'LEGITIMATE': 1, 'LIKELY_SPURIOUS': 23}
  的: {'UNCERTAIN': 101, 'SPURIOUS': 80, 'LIKELY_SPURIOUS': 7}
  了: {'LEGITIMATE': 4, 'UNCERTAIN': 222, 'LIKELY_SPURIOUS': 18}
  谁: {'LEGITIMATE': 2, 'UNCERTAIN': 57}
  那: {'LEGITIMATE': 1}
char	wrong_code	word	freq	primary	verdict	note
地	fashengde	发生地	10558	fashengdi	UNCERTAIN	2-char prefix '发生' + 助词 (V+助词 or 2-char N+助词)
地	beishangde	悲伤地	10550	beishangdi	UNCERTAIN	2-char prefix '悲伤' + 助词 (V+助词 or 2-char N+助词)
地	yigejinde	一个劲地	10538	yigejindi	LIKELY_SPURIOUS	>=3-char prefix '一个劲' + 助词 (long phrase + 助词)
地	deduikong	地对空	10523	diduikong	UNCERTAIN	default
地	yangde	养地	10508	yangdi	UNCERTAIN	single-char prefix '养' + 助词 (likely legitimate N+助词,但 ambiguous)
地	jianjiede	间接地	10505	jianjiedi	UNCERTAIN	2-char prefix '间接' + 助词 (V+助词 or 2-char N+助词)
地	xitongde	系统地	10486	xitongdi	UNCERTAIN	2-char prefix '系统' + 助词 (V+助词 or 2-char N+助词)
地	delana	地拉那	10439	dilana	UNCERTAIN	default
地	tanshuaide	坦率地	10435	tanshuaidi	UNCERTAIN	2-char prefix '坦率' + 助词 (V+助词 or 2-char N+助词)
地	side	私地	10412	sidi	UNCERTAIN	single-char prefix '私' + 助词 (likely legitimate N+助词,但 ambiguous)
地	defu	地富	10323	difu	UNCERTAIN	default
地	jutideshuo	具体地说	10314	jutidishuo	UNCERTAIN	default
地	chuangzaoxingde	创造性地	10252	chuangzaoxingdi	LIKELY_SPURIOUS	>=3-char prefix '创造性' + 助词 (long phrase + 助词)
地	bisaichangde	比赛场地	10148	bisaichangdi	LIKELY_SPURIOUS	>=3-char prefix '比赛场' + 助词 (long phrase + 助词)
地	hujide	户籍地	10116	hujidi	UNCERTAIN	2-char prefix '户籍' + 助词 (V+助词 or 2-char N+助词)
地	depin	地贫	10083	dipin	UNCERTAIN	default
地	zhide	织地	10075	zhidi	UNCERTAIN	single-char prefix '织' + 助词 (likely legitimate N+助词,但 ambiguous)
地	deshouhu	地守护	10070	dishouhu	UNCERTAIN	default
地	feide	肥地	10048	feidi	UNCERTAIN	single-char prefix '肥' + 助词 (likely legitimate N+助词,但 ambiguous)
地	liangansande	两岸三地	10009	liangansandi	LIKELY_SPURIOUS	>=3-char prefix '两岸三' + 助词 (long phrase + 助词)
地	culvede	粗略地	9991	culvedi	UNCERTAIN	2-char prefix '粗略' + 助词 (V+助词 or 2-char N+助词)
地	wubaoliude	无保留地	9987	wubaoliudi	LIKELY_SPURIOUS	>=3-char prefix '无保留' + 助词 (long phrase + 助词)
地	pande	盘地	9962	pandi	UNCERTAIN	single-char prefix '盘' + 助词 (likely legitimate N+助词,但 ambiguous)
地	deduide	地对地	9943	diduidi	UNCERTAIN	2-char prefix '地对' + 助词 (V+助词 or 2-char N+助词)
地	deduidi	地对地	9943	diduidi	UNCERTAIN	2-char prefix '地对' + 助词 (V+助词 or 2-char N+助词)
地	diduide	地对地	9943	diduidi	UNCERTAIN	2-char prefix '地对' + 助词 (V+助词 or 2-char N+助词)
