delete_code	word	freq	why
xinti	新堤	5895	堤:di/ti del-wrong b2
zhuanji	转系	5895	系:xi/ji del-wrong b2
jizong	系综	5866	系:xi/ji del-wrong b2
meishuji	美术系	5720	系:xi/ji del-wrong b2
boke	蕃客	5686	蕃:fan/bo del-wrong b2
shijueji	视觉系	5671	系:xi/ji del-wrong b2
shuliji	数理系	5669	系:xi/ji del-wrong b2
zhiji	职系	5669	系:xi/ji del-wrong b2
chenyangtiyuxueyuan	沈阳体育学院	5633	沈:shen/chen del-wrong b2
dalufaji	大陆法系	5527	系:xi/ji del-wrong b2
lanjiyuansu	镧系元素	5527	系:xi/ji del-wrong b2
weiti	围堤	5526	堤:di/ti del-wrong b2
yuwenji	语文系	5526	系:xi/ji del-wrong b2
changjimo	肠系膜	5498	系:xi/ji del-wrong b2
biaoyanji	表演系	5457	系:xi/ji del-wrong b2
xiebi	邪辟	5433	辟:pi/bi del-wrong b2
tigeng	堤埂	5393	堤:di/ti del-wrong b2
pangjixueqin	旁系血亲	5393	系:xi/ji del-wrong b2
xixue	铣削	5393	削:xue/xiao del-prim b2
dadushijuan	大都市圈	5354	圈:quan/juan del-wrong b2
gongrongjuan	共荣圈	5354	圈:quan/juan del-wrong b2
tumuji	土木系	5354	系:xi/ji del-wrong b2
chazha	刹闸	5286	刹:sha/cha del-wrong b2
guomaoji	国贸系	5286	系:xi/ji del-wrong b2
jishujuan	技术圈	5286	圈:quan/juan del-wrong b2
shengjiao	声觉	5286	觉:jue/jiao del-wrong b2
shengjuan	绳圈	5286	圈:quan/juan del-wrong b2
xifune	西服呢	5286	呢:ne/ni del-prim b2
badacaiji	八大菜系	5167	系:xi/ji del-wrong b2
bizuo	辟作	5167	辟:pi/bi del-wrong b2
shuchen	属沈	5167	沈:shen/chen del-wrong b2
waiyuji	外语系	5167	系:xi/ji del-wrong b2
cengji	层系	5163	系:xi/ji del-wrong b2
shenji	沈寂	5073	沈:shen/chen del-prim b2
wudaoji	舞蹈系	5073	系:xi/ji del-wrong b2
chendefu	沈德符	4961	沈:shen/chen del-wrong b2
tiwai	堤外	4961	堤:di/ti del-wrong b2
miniaoji	泌尿系	4961	系:xi/ji del-wrong b2
shuiliji	水利系	4961	系:xi/ji del-wrong b2
tongjiwu	同系物	4961	系:xi/ji del-wrong b2
wanzhengji	完整系	4961	系:xi/ji del-wrong b2
zhuitiwaiji	锥体外系	4961	系:xi/ji del-wrong b2
jikan	系刊	4842	系:xi/ji del-wrong b2
liba	犁耙	4842	耙:ba/pa del-prim b2
xueduan	削短	4842	削:xue/xiao del-prim b2
shadili	刹帝利	4804	刹:sha/cha del-prim b2
qiguanji	企管系	4804	系:xi/ji del-wrong b2
chengaosu	沈高速	4734	沈:shen/chen del-wrong b2
fengjijunfa	奉系军阀	4734	系:xi/ji del-wrong b2
gejisuo	各系所	4734	系:xi/ji del-wrong b2
jizu	系族	4734	系:xi/ji del-wrong b2
waijiaoji	外交系	4734	系:xi/ji del-wrong b2
zhidianji	质点系	4734	系:xi/ji del-wrong b2
ziwujuan	子午圈	4734	圈:quan/juan del-wrong b2
tiduan	堤段	4652	堤:di/ti del-wrong b2
jipo	羁泊	4652	泊:po/bo del-prim b2
quanlao	圈牢	4652	圈:quan/juan del-prim b2
qianlizhiti	千里之堤	4652	堤:di/ti del-wrong b2
tinei	堤内	4640	堤:di/ti del-wrong b2
chenjixian	沈吉线	4495	沈:shen/chen del-wrong b2
fayuji	法语系	4495	系:xi/ji del-wrong b2
taoji	陶系	4495	系:xi/ji del-wrong b2
tuti	土堤	4495	堤:di/ti del-wrong b2
ajiyuansu	锕系元素	4480	系:xi/ji del-wrong b2
boxi	蕃息	4480	蕃:fan/bo del-wrong b2
caozongji	操纵系	4480	系:xi/ji del-wrong b2
dianyingjuan	电影圈	4480	圈:quan/juan del-wrong b2
disiji	第四系	4480	系:xi/ji del-wrong b2
liufangjingji	六方晶系	4480	系:xi/ji del-wrong b2
ruanliujuan	软流圈	4480	圈:quan/juan del-wrong b2
tianwenji	天文系	4480	系:xi/ji del-wrong b2
zengbi	增辟	4480	辟:pi/bi del-wrong b2
chenayi	沈阿姨	4422	沈:shen/chen del-wrong b2
chenyangju	沈阳局	4422	沈:shen/chen del-wrong b2
chiba	齿耙	4422	耙:ba/pa del-prim b2
fenda	纷沓	4422	沓:da/ta del-prim b2
lianjiqilai	连系起来	4422	系:xi/ji del-wrong b2
